A,29-May-2001,37.65,37.65,35.54,35.95,1590400
AA,29-May-2001,43.85,44,43.1,43.46,3184000
ABB,29-May-2001,14.66,14.68,14.59,14.66,18100
ABC,29-May-2001,13.8625,14.1875,13.8,14.175,604300
ABM,29-May-2001,15.9,16.15,15.63,16.15,100400
ABT,29-May-2001,51.2,51.66,51.01,51.35,3172500
ABX,29-May-2001,17.36,17.38,16.94,17.24,1775400
ACE,29-May-2001,38.13,39.4,37.98,38.35,1236500
ACG,29-May-2001,8.33,8.4,8.33,8.37,285700
ACI,29-May-2001,16.295,16.295,15.41,15.875,1184400
ACP,29-May-2001,10.3,10.38,10.1,10.38,16700
ACV,29-May-2001,28.2,28.54,28.13,28.39,160050
ADC,29-May-2001,18.22,18.45,18,18.45,16900
ADM,29-May-2001,12.48,12.59,12.3,12.43,1722839
ADX,29-May-2001,19.72,19.72,19.6,19.65,54800
AED,29-May-2001,23.5,23.5,23.5,23.5,500
AEE,29-May-2001,44.2,45.48,44.02,44.36,449100
AEG,29-May-2001,26.73,27.17,26.73,27.07,184080
AEM,29-May-2001,8.15,8.3,8.1,8.25,224300
AEO,29-May-2001,12.95,12.95,12.236,12.383,2761200
AEP,29-May-2001,50.3,50.3,49.51,49.9,720700
AES,29-May-2001,46.09,46.09,45,45.4,1518200
AES-C,29-May-2001,72,72,70.79,71,51400
AET,29-May-2001,5.95,5.988,5.858,5.918,783100
AF,29-May-2001,18.59,18.71,18.58,18.61,561300
AFG,29-May-2001,18.409,18.463,18.316,18.363,68800
AFL,29-May-2001,31.72,32.47,31.72,32.2,976700
AG,29-May-2001,8.5,8.67,8.5,8.67,299200
AGCO,29-May-2001,8.5,8.67,8.5,8.67,299200
AGM,29-May-2001,31.85,32.05,31.84,32.05,15900
AGM.A,29-May-2001,23.95,23.95,23.95,23.95,0
AGN,29-May-2001,41.37,42.82,41.18,42.64,964600
AGR,29-May-2001,75,76.5,70.2,75,1027120
AGU,29-May-2001,11.65,12,11.55,11.83,533000
AIB,29-May-2001,109.5,110.9,109.5,109.9,42000
AIG,29-May-2001,1650,1650,1635,1644.6,2671800
AIN,29-May-2001,22.4,22.4,22.03,22.12,144200
AIR,29-May-2001,13.96,14.06,13.85,13.92,308000
AIT,29-May-2001,7.871,7.884,7.737,7.884,82800
AIV,29-May-2001,45.99,45.99,45.65,45.7,94600
AJG,29-May-2001,26.65,27.53,26.54,27.06,429800
AKO.A,29-May-2001,15.13,15.13,15.13,15.13,9200
AKO.B,29-May-2001,11.5,11.6,11.5,11.55,17400
AKR,29-May-2001,6.87,7,6.87,7,14200
AKS,29-May-2001,12.98,13.15,12.75,13.05,507500
AL,29-May-2001,40.25,40.53,40.02,40.25,1180900
ALB,29-May-2001,11.42,11.625,11.35,11.49,39500
ALE,29-May-2001,28.05,28.11,27.75,27.93,65366
ALG,29-May-2001,14.95,14.95,14.95,14.95,0
ALK,29-May-2001,7.175,7.275,7.045,7.225,74900
ALL,29-May-2001,44.28,45.62,44.28,44.86,2199100
ALP-O,29-May-2001,23,23,23,23,600
ALV,29-May-2001,19.55,19.59,19.2,19.29,10600
ALX,29-May-2001,64.15,64.15,63.7,63.7,400
AM,29-May-2001,12.4,12.5,12.15,12.15,101700
AME,29-May-2001,3.8538,3.9218,3.8449,3.9013,244600
AMG,29-May-2001,39.5,40.13,38.27,38.27,266100
AMT,29-May-2001,25.6,25.86,24.2,24.78,649100
AMX,29-May-2001,3.57,3.575,3.47,3.485,3976200
AN,29-May-2001,10.95,11,10.9,10.99,404200
ANF,29-May-2001,41.72,41.85,41.04,41.23,1120600
ANH,29-May-2001,6.9,6.9,6.4,6.47,12500
AOI,29-May-2001,111.5,112,108.4,110.5,56900
AON,29-May-2001,34.35,34.97,34.3,34.8,635300
AOS,29-May-2001,5.8667,5.98,5.8334,5.8334,145700
AP,29-May-2001,10.72,10.72,10.72,10.72,100
APA,29-May-2001,26.11,26.32,25.09,25.22,4775694
APB,29-May-2001,8.59,8.71,8.55,8.6,23400
APC,29-May-2001,31.55,31.785,30.425,30.7,3256900
APD,29-May-2001,46,47.06,46,46.34,973700
APF,29-May-2001,8.5,8.55,8.33,8.55,129700
APH,29-May-2001,6.5625,6.595,6.3325,6.3325,468000
APU,29-May-2001,23.1,23.3,23.01,23.3,31700
ARE,29-May-2001,37.45,37.55,37.15,37.43,28500
ARG,29-May-2001,10.35,10.4,10.27,10.3,99000
ARL,29-May-2001,12.15,12.2,12.15,12.2,1800
ARW,29-May-2001,26.77,26.77,25.9,25.91,273200
ASA,29-May-2001,6.6667,6.75,6.6667,6.73,81500
ASG,29-May-2001,10.02,10.04,9.9,9.9,30200
ASH,29-May-2001,34.24,34.51,33.97,34.34,289382
ASR,29-May-2001,18.85,19.15,18.85,18.98,17800
ASX,29-May-2001,2.9,2.9,2.79,2.84,259515
ATI,29-May-2001,19.68,20.9,19.66,20.5,368500
ATO,29-May-2001,23.4,23.48,22.9,23.16,39900
ATR,29-May-2001,17.2,17.2,16.755,16.925,96000
ATU,29-May-2001,3.54,3.605,3.54,3.59,29000
ATW,29-May-2001,11.143,11.22,11.025,11.05,52800
AU,29-May-2001,19.2,19.2,18.8,19.05,247400
AV,29-May-2001,16.85,17.06,16.52,16.89,1142100
AVA,29-May-2001,22.65,22.66,21.6,22.03,237400
AVB,29-May-2001,46.65,46.71,46.33,46.44,108300
AVP,29-May-2001,21.69,22.15,21.69,22.04,1388400
AVT,29-May-2001,25.64,25.64,24.5,24.5,880500
AVX,29-May-2001,19.25,19.42,18.92,18.99,658800
AVY,29-May-2001,57.9,58.26,56.84,57,189800
AWF,29-May-2001,10.23,10.29,10.19,10.27,281800
AWR,29-May-2001,10.55,10.55,10.185,10.25,22050
AXE,29-May-2001,30.9,30.9,29.9,29.9,204900
AXL,29-May-2001,12.95,12.95,12.75,12.75,3800
AXP,29-May-2001,43.58,43.58,42.36,42.41,6031700
AXR,29-May-2001,4.65,4.65,4.65,4.65,500
AZN,29-May-2001,48.45,48.59,47.88,48.59,837600
AZO,29-May-2001,33.1,33.28,32.97,33.06,887000
AZZ,29-May-2001,5.2125,5.2775,5.2125,5.2375,8100
B,29-May-2001,10.875,11.005,10.79,10.825,34700
BA,29-May-2001,63.5,63.9,63.2,63.53,2271400
BAC,29-May-2001,29.5,29.87,29.48,29.8,9957200
BAK,29-May-2001,5.48,5.56,5.48,5.56,41200
BAP,29-May-2001,8.1,8.15,8.1,8.15,66200
BAX,29-May-2001,48.42,48.67,48.25,48.3,2022400
BBD,29-May-2001,2.4303,2.4303,2.2106,2.2924,367230
BBT,29-May-2001,35.3,36.17,35.29,35.96,582600
BBVA,29-May-2001,13.62,13.79,13.47,13.79,127300
BBX,29-May-2001,26.65,26.65,26.05,26.2,158600
BBY,29-May-2001,26.67,26.88,26.23,26.33,2921850
BC,29-May-2001,22.35,22.4,22.18,22.39,331000
BCE,29-May-2001,25.71,25.92,25.36,25.8,174400
BCO,29-May-2001,24.5,24.6,23.83,23.85,113700
BCR,29-May-2001,22.7,23.08,22.7,23,207600
BCS,29-May-2001,30.86,31.13,30.5,31.13,139200
BDC,29-May-2001,30.1,30.12,29.06,29.1,100500
BDJ,29-May-2001,11.15,11.15,11,11.06,10400
BDN,29-May-2001,20.08,20.18,19.85,19.87,197700
BDX,29-May-2001,32.95,33.25,32.9,33.11,644300
BEN,29-May-2001,14.8667,14.9333,14.8333,14.9,1550400
BF.B,29-May-2001,21.42,21.76,21.3333,21.6467,73600
BFR,29-May-2001,26.5,26.95,26.5,26.95,38300
BFS,29-May-2001,18.69,18.7,18.2,18.25,8300
BGC,29-May-2001,15.25,15.3,15,15.09,322700
BGG,29-May-2001,22.05,22.32,22.05,22.3,225600
BHE,29-May-2001,11.806,11.806,10.985,11.006,205350
BHI,29-May-2001,39.75,40,38.95,39.22,2072900
BHP,29-May-2001,10.37,10.38,10.26,10.29,206390
BID,29-May-2001,19.9,20.1,19.84,19.84,104800
BIF,29-May-2001,8.38,8.4,8.38,8.38,1200
BK,29-May-2001,54,54.6,53.51,54.22,1293200
BKE,29-May-2001,12.9,12.9,12.573,12.673,34300
BKH,29-May-2001,57.5,58,56.55,56.96,116600
BKN,29-May-2001,13.25,13.34,13.21,13.3,12600
BKS,29-May-2001,23.64,23.86,23.5,23.79,470500
BKT,29-May-2001,7.19,7.19,7.06,7.1,114600
BLH,29-May-2001,25,25,25,25,0
BLK,29-May-2001,36.2,36.8,36.1,36.75,67800
BLL,29-May-2001,5.785,5.87,5.735,5.855,859600
BLT,29-May-2001,3.5,3.55,3.5,3.55,7100
BLX,29-May-2001,34.2,34.2,33.7,33.78,16600
BMO,29-May-2001,24.8,24.81,24.18,24.22,12600
BMS,29-May-2001,19.15,19.29,18.95,19.16,299000
BMY,29-May-2001,51.79,52.49,51.24,51.51,6317400
BNK,29-May-2001,20.35,20.55,20.2,20.45,304700
BNS,29-May-2001,12.85,12.85,12.85,12.85,0
BOH,29-May-2001,24.8,24.95,24.47,24.47,244100
BP,29-May-2001,54,54.09,53.65,53.68,1335100
BPL,29-May-2001,36.3,37.6,36.3,37.5,36800
BPT,29-May-2001,15.32,15.67,15.04,15.61,174800
BRC,29-May-2001,17.18,17.18,16.8,16.8,23000
BRK.A,29-May-2001,68200,68300,68000,68000,15000
BRK.B,29-May-2001,45.52,45.74,45.24,45.4,5130
BRO,29-May-2001,10.165,10.29,10.1,10.165,62000
BRT,29-May-2001,9,9,9,9,500
BSD,29-May-2001,14.07,14.13,13.98,14,10500
BSI,29-May-2001,14.55,14.56,14.55,14.56,200
BSX,29-May-2001,8.49,8.63,8.39,8.4,1839200
BT,29-May-2001,48.48,48.89,48.37,48.89,176100
BTO,29-May-2001,35.12,35.36,34.96,35.36,88000
BTU,29-May-2001,8.725,8.82,8.65,8.715,1042400
BUD,29-May-2001,43.18,43.88,43.14,43.6,1286100
BVN,29-May-2001,2.163,2.163,2.1,2.133,197200
BW,29-May-2001,22.2,22.57,22.2,22.3,26300
BWA,29-May-2001,5.855,5.92,5.8125,5.8375,169000
BXP,29-May-2001,40.3,40.6,40.25,40.39,136200
BXS,29-May-2001,15.15,15.3,14.9,14.9,71600
BYD,29-May-2001,4.73,4.73,4.51,4.51,30900
BZH,29-May-2001,93.4,93.65,90.85,93.45,317400
C,29-May-2001,523.5,524.5,514.1,516,886830
CACI,29-May-2001,20.95,21.125,20.8,21.02,325200
CAE,29-May-2001,10.6,10.68,10.6,10.64,32800
CAG,29-May-2001,20.37,21.13,20.18,21.05,2231600
CAH,29-May-2001,71.75,72.95,71.67,72.3,2070700
CAI,29-May-2001,20.95,21.13,20.8,21.02,650400
CAJ,29-May-2001,27.747,27.781,27.214,27.314,54800
CAL,29-May-2001,49.9,49.9,48.84,49.5,225300
CAM,29-May-2001,17.65,17.725,17.263,17.533,601500
CAT,29-May-2001,26.76,27.65,26.76,27.57,3883800
CB,29-May-2001,36.61,37.81,36.61,37.49,1292000
CBA,29-May-2001,30.75,30.79,30.6,30.75,5900
CBB,29-May-2001,25.87,25.89,25.24,25.24,709400
CBB-B,29-May-2001,49.6,50.05,49.51,50.03,2500
CBD,29-May-2001,12.825,13.5,12.825,13.3,151600
CBI,29-May-2001,9.43,9.45,8.48,8.53,329200
CBK,29-May-2001,19.35,19.47,19.15,19.34,967500
CBL,29-May-2001,14.475,14.65,14.475,14.525,123200
CBM,29-May-2001,53.68,54.78,53.68,54.5,89300
CBR,29-May-2001,6.95,7,6.88,6.92,59700
CBT,29-May-2001,37.61,38.37,37.61,37.9,346400
CBU,29-May-2001,14.23,14.24,14.15,14.24,19400
CC,29-May-2001,10.98,11.08,10.4,10.65,1884900
CCC,29-May-2001,7.87,8,7.72,7.9,53900
CCE,29-May-2001,16.72,16.95,16.58,16.89,1406500
CCI,29-May-2001,17.1,17.17,16.35,16.35,288600
CCJ,29-May-2001,4.385,4.52,4.35,4.43,97200
CCK,29-May-2001,5.55,5.6,5.25,5.45,627900
CCL,29-May-2001,28.8,29.1,28.2,28.47,797300
CCU,29-May-2001,25.5,25.54,25.144,25.4,1503000
CCZ,29-May-2001,49.5,49.5,48.5,49,2100
CDE,29-May-2001,14.8,15.1,12.6,12.6,618400
CDI,29-May-2001,16.75,17.05,16.75,16.81,40900
CDR,29-May-2001,8.55,8.55,8.55,8.55,133
CE,29-May-2001,25.31,25.7,25.14,25.35,6780800
CEA,29-May-2001,8.22,8.3,8.18,8.18,1300
