A,11-Jan-2001,55.88,57.69,53.69,57.56,2515800
AA,11-Jan-2001,33.19,33.19,31.25,31.5,3490000
ABB,11-Jan-2001,20.65,20.65,20.65,20.65,400
ABC,11-Jan-2001,12.3125,12.5,12.015,12.015,690300
ABM,11-Jan-2001,15.66,15.94,15.66,15.94,36800
ABT,11-Jan-2001,42.81,43.56,42,42.06,5051200
ABX,11-Jan-2001,15.65,15.77,15.33,15.43,1172900
ACE,11-Jan-2001,36,36.06,35.37,36,2176200
ACG,11-Jan-2001,7.87,7.87,7.81,7.87,321300
ACI,11-Jan-2001,7,7.53,6.875,7.435,484900
ACP,11-Jan-2001,9.12,9.25,9.12,9.25,1200
ACV,11-Jan-2001,26.58,26.83,26,26.17,112500
ADC,11-Jan-2001,15,15.25,15,15,5400
ADM,11-Jan-2001,13.92,13.92,13.45,13.69,1321215
ADX,11-Jan-2001,20.81,21.19,20.81,21.12,92000
AED,11-Jan-2001,26,26,26,26,1125
AEE,11-Jan-2001,40.69,40.69,38.94,39.12,491600
AEG,11-Jan-2001,37.32,38.4,37.32,38.04,182312
AEM,11-Jan-2001,6.19,6.25,6.06,6.12,50800
AEO,11-Jan-2001,15.444,16.468,15.404,16.258,3625600
AEP,11-Jan-2001,41.75,41.75,39.25,39.81,1553500
AES,11-Jan-2001,53.37,53.37,49.69,50.87,2293300
AES-C,11-Jan-2001,80,80.84,78,78,51300
AET,11-Jan-2001,9.375,9.563,8.843,8.968,910800
AF,11-Jan-2001,16.5,16.71,15.92,16.19,1762500
AFG,11-Jan-2001,16.588,16.588,15.968,16.468,146800
AFL,11-Jan-2001,32.81,33.38,32.31,32.31,1766400
AG,11-Jan-2001,12,12,11.81,12,82800
AGCO,11-Jan-2001,12,12,11.81,12,82800
AGM,11-Jan-2001,25.5,26.44,25.5,26.44,25600
AGM.A,11-Jan-2001,19,19,19,19,0
AGN,11-Jan-2001,40.77,41.45,40.32,40.585,618700
AGU,11-Jan-2001,12.81,13.37,12.81,13.19,1241800
AIB,11-Jan-2001,124.7,126.85,124.35,125.3,355700
AIG,11-Jan-2001,1750,1755,1666.2,1686.2,7479900
AIN,11-Jan-2001,13.31,13.37,13.12,13.25,26400
AIR,11-Jan-2001,12.19,12.5,12.19,12.25,48600
AIT,11-Jan-2001,8.891,8.918,8.611,8.671,82500
AIV,11-Jan-2001,47.37,47.75,47,47.12,226300
AJG,11-Jan-2001,27.84,28.12,26.22,26.44,775800
AKO.A,11-Jan-2001,12.62,12.62,12.56,12.62,177600
AKO.B,11-Jan-2001,9.94,10,9.94,10,4700
AKR,11-Jan-2001,6,6.12,6,6.06,5700
AKS,11-Jan-2001,8.69,9.06,8.69,9,251600
AL,11-Jan-2001,31.47,31.58,30.8,30.8,1116000
ALB,11-Jan-2001,11.75,11.78,11.095,11.345,58500
ALE,11-Jan-2001,25.74,26.13,25.14,25.23,26033
ALG,11-Jan-2001,13.94,13.94,13.94,13.94,500
ALK,11-Jan-2001,7.735,7.8125,7.485,7.5475,206700
ALL,11-Jan-2001,37.62,38,35.5,36.5,3624100
ALP-O,11-Jan-2001,20.37,20.37,20,20.37,3300
ALV,11-Jan-2001,16.56,16.69,16.37,16.56,42800
ALX,11-Jan-2001,73.62,74.5,73.62,74.37,9100
AM,11-Jan-2001,12,12.19,11.81,12,353500
AME,11-Jan-2001,4.0671,4.0671,3.9929,4.0111,155200
AMG,11-Jan-2001,36.08,38.67,36.08,37.37,186600
AMT,11-Jan-2001,37.25,41.5,37.12,41,3022000
AN,11-Jan-2001,5.75,5.75,5.62,5.75,380200
ANF,11-Jan-2001,21.62,23.12,20.87,22.69,1070000
ANH,11-Jan-2001,4.06,4.06,4.06,4.06,13100
AOI,11-Jan-2001,55,55.6,51.9,55,199200
AON,11-Jan-2001,32.69,33.75,32.69,33.19,1121000
AOS,11-Jan-2001,5.6867,5.6867,5.6234,5.6667,23100
AP,11-Jan-2001,12.06,12.06,12.06,12.06,800
APA,11-Jan-2001,29.12,29.55,28.68,28.82,3937162
APB,11-Jan-2001,8.5,8.62,8.37,8.56,54300
APC,11-Jan-2001,31.375,31.625,30.4,30.875,3164800
APD,11-Jan-2001,39.31,39.31,37.75,38.06,813500
APF,11-Jan-2001,8.62,8.75,8.56,8.75,329300
APH,11-Jan-2001,5.11,5.5325,5.055,5.4925,1063200
APU,11-Jan-2001,18.37,18.37,18.06,18.06,50600
ARE,11-Jan-2001,37.81,38,37.75,37.94,12500
ARG,11-Jan-2001,7.06,7.06,6.69,6.81,151700
ARL,11-Jan-2001,13.25,13.62,13.12,13.62,2600
ARW,11-Jan-2001,28.62,30.37,27.75,30.12,520300
ASA,11-Jan-2001,5.1233,5.1667,5.1233,5.1667,36600
ASG,11-Jan-2001,9.5,9.87,9.44,9.87,49300
ASH,11-Jan-2001,29.09,29.09,28.68,28.8,129603
ASR,11-Jan-2001,15.37,15.62,15.37,15.62,3500
ASX,11-Jan-2001,3.31,3.63,3.31,3.63,127511
ATI,11-Jan-2001,13.87,14.12,13.56,13.62,301900
ATO,11-Jan-2001,25,25.75,25,25,168800
ATR,11-Jan-2001,14.095,14.5,14.06,14.435,135100
ATU,11-Jan-2001,4.69,4.845,4.53,4.69,69920
ATW,11-Jan-2001,10.625,10.803,10.565,10.768,51100
AU,11-Jan-2001,14.44,14.44,14.12,14.12,178500
AV,11-Jan-2001,13.75,14.94,13.75,14.44,1694200
AVA,11-Jan-2001,16.87,16.87,16.37,16.75,186700
AVB,11-Jan-2001,47.62,47.87,47.5,47.81,84900
AVP,11-Jan-2001,23.56,23.78,22.5,22.78,2278400
AVT,11-Jan-2001,23.44,24.37,23.37,24,2038100
AVX,11-Jan-2001,18.19,20.62,18.06,19.87,1535100
AVY,11-Jan-2001,53.87,53.87,51.87,52.56,412600
AWF,11-Jan-2001,9.06,9.12,8.94,9.12,244500
AWR,11-Jan-2001,11.165,11.335,11.165,11.185,15750
AXE,11-Jan-2001,21.37,23.37,21.37,23.37,208300
AXL,11-Jan-2001,8.12,8.12,8,8.12,14200
AXP,11-Jan-2001,46.56,48.56,46.12,47.87,7149700
AXR,11-Jan-2001,4.75,4.75,4.56,4.56,3300
AZN,11-Jan-2001,47.12,48.75,46.81,48.19,2249400
AZO,11-Jan-2001,28.75,28.87,28.5,28.62,187500
AZZ,11-Jan-2001,4.3425,4.375,4.3425,4.36,4600
B,11-Jan-2001,9.47,9.595,9.345,9.405,23700
BA,11-Jan-2001,60,60.75,59,59.12,3385300
BAC,11-Jan-2001,24.35,24.78,24.06,24.72,14693200
BAK,11-Jan-2001,8.13,8.13,8.13,8.13,800
BAP,11-Jan-2001,6.37,6.75,6.37,6.62,228200
BAX,11-Jan-2001,42.6,43.1,41,42.31,3204600
BBD,11-Jan-2001,3.4591,3.4591,3.0113,3.1553,174900
BBT,11-Jan-2001,36.69,37,36.56,36.94,878000
BBVA,11-Jan-2001,15.44,15.94,15.44,15.94,136700
BBX,11-Jan-2001,16.9,16.9,16.25,16.5,47600
BBY,11-Jan-2001,17.94,18.58,17.78,18.42,5419350
BC,11-Jan-2001,17.5,17.5,17.12,17.37,374200
BCE,11-Jan-2001,27.12,27.37,26.87,27.25,313500
BCO,11-Jan-2001,19.94,20.37,19.94,20.12,148400
BCR,11-Jan-2001,21.72,21.91,21.5,21.5,297200
BCS,11-Jan-2001,32.11,32.63,31.77,32.5,71200
BDC,11-Jan-2001,39.24,41,38.38,40.88,116800
BDJ,11-Jan-2001,11,11,11,11,0
BDN,11-Jan-2001,20.06,20.5,20.06,20.37,117700
BDX,11-Jan-2001,32.19,33.44,32,33.12,875900
BEN,11-Jan-2001,12.9733,13.3267,12.85,12.95,386800
BF.B,11-Jan-2001,19.96,20.2067,19.8333,19.92,138600
BFR,11-Jan-2001,26.12,26.44,25.87,26.19,145700
BFS,11-Jan-2001,18.75,18.94,18.5,18.75,24900
BGC,11-Jan-2001,6.12,6.56,6.12,6.31,118800
BGG,11-Jan-2001,23,23.72,22.94,23.63,301000
BHE,11-Jan-2001,9.278,11.366,9.225,11.366,391350
BHI,11-Jan-2001,41.94,42.81,41.44,42.25,4363000
BHP,11-Jan-2001,9.56,9.59,9.43,9.59,31091
BID,11-Jan-2001,23.94,25.44,23.62,25.19,148600
BIF,11-Jan-2001,8.69,8.75,8.56,8.75,3900
BK,11-Jan-2001,53.75,55,53.37,53.5,2467900
BKE,11-Jan-2001,12.586,12.8,12.546,12.713,38300
BKH,11-Jan-2001,32.56,32.81,31,32.37,69200
BKN,11-Jan-2001,13.62,13.87,13.62,13.87,26900
BKS,11-Jan-2001,17.12,17.62,16.8,17.26,778200
BKT,11-Jan-2001,6.69,6.81,6.69,6.75,222200
BLH,11-Jan-2001,25,25,25,25,0
BLK,11-Jan-2001,37.62,38.75,36.62,36.62,53700
BLL,11-Jan-2001,6,6.105,5.925,5.945,1858400
BLT,11-Jan-2001,7.87,7.94,7.81,7.81,3500
BLX,11-Jan-2001,32,32,31.81,31.87,12500
BMO,11-Jan-2001,25.28,25.44,25.13,25.19,78000
BMS,11-Jan-2001,14.91,15.13,14.63,14.97,558400
BMY,11-Jan-2001,62.77,62.77,59.92,61.34,5588000
BNK,11-Jan-2001,18.81,19.19,18.38,18.44,810900
BNS,11-Jan-2001,14.55,14.55,14.49,14.55,7000
BOH,11-Jan-2001,18.56,19.06,18.37,18.81,355300
BP,11-Jan-2001,48.94,49.25,48.62,48.94,3184900
