A,24-Apr-2001,38.9,39.25,36.5,37.22,1933000
AA,24-Apr-2001,40.4,40.68,39.58,39.96,3698200
ABB,24-Apr-2001,14.03,14.11,13.99,14.07,8900
ABC,24-Apr-2001,12.775,13.0125,12.775,12.93,423200
ABM,24-Apr-2001,15.1,15.6,15.1,15.5,117400
ABT,24-Apr-2001,44.94,45.23,44.16,44.43,2507000
ABX,24-Apr-2001,15.56,15.95,15.56,15.82,1109700
ACE,24-Apr-2001,35.5,35.55,33.43,33.9,2476900
ACG,24-Apr-2001,7.91,7.92,7.88,7.91,232400
ACI,24-Apr-2001,16.8,17.85,16.505,17.655,452000
ACP,24-Apr-2001,9.06,9.26,9.05,9.26,10400
ACV,24-Apr-2001,24.9,25.07,24.77,25.03,99300
ADC,24-Apr-2001,16.4,16.5,16.35,16.37,7600
ADM,24-Apr-2001,10.57,10.83,10.5,10.68,2310000
ADX,24-Apr-2001,18.5,18.65,18.31,18.41,38900
AED,24-Apr-2001,25.4,25.4,25.4,25.4,175
AEE,24-Apr-2001,41.99,42.19,41.58,41.75,456600
AEG,24-Apr-2001,30.73,30.87,30.13,30.4,77792
AEM,24-Apr-2001,6.9,7.07,6.81,7.07,244600
AEO,24-Apr-2001,12.169,12.456,11.622,11.673,5049900
AEP,24-Apr-2001,49.98,50.23,48.5,49.45,1076500
AES,24-Apr-2001,48.85,48.95,47,48.05,3566400
AES-C,24-Apr-2001,74.65,75.98,74,74,1000
AET,24-Apr-2001,6.578,6.748,6.563,6.708,482200
AF,24-Apr-2001,17.96,18.39,17.95,18.33,1226100
AFG,24-Apr-2001,16.875,16.908,16.788,16.802,69700
AFL,24-Apr-2001,28.14,28.19,26.8,27.25,2004300
AG,24-Apr-2001,8.98,9.1,8.9,9,220400
AGCO,24-Apr-2001,8.98,9.1,8.9,9,220400
AGM,24-Apr-2001,24.8,25.15,24.75,25,4000
AGM.A,24-Apr-2001,22.17,22.17,22.17,22.17,0
AGN,24-Apr-2001,37.1,37.695,35.07,35.525,1579300
AGR,24-Apr-2001,66,71.9,61.8,67.4,1519480
AGU,24-Apr-2001,12.53,12.53,11.9,12.13,293700
AIB,24-Apr-2001,109.5,109.95,106.5,106.65,54400
AIG,24-Apr-2001,1559.8,1564.8,1540,1544,5487100
AIN,24-Apr-2001,18,18.1,17.6,17.88,85800
AIR,24-Apr-2001,11.1,11.35,11.05,11.21,18800
AIT,24-Apr-2001,8.057,8.057,7.917,8.004,16800
AIV,24-Apr-2001,43.8,43.8,43.41,43.46,110900
AJG,24-Apr-2001,26,26.4,24.65,24.85,461300
AKO.A,24-Apr-2001,13.46,13.46,13.46,13.46,1800
AKO.B,24-Apr-2001,10.6,10.6,10.6,10.6,100
AKR,24-Apr-2001,6.25,6.35,6.25,6.3,10400
AKS,24-Apr-2001,11.62,12.74,11.45,12.65,1362800
AL,24-Apr-2001,39.53,39.84,39.21,39.41,1376500
ALB,24-Apr-2001,11.425,11.5,11.23,11.495,123900
ALE,24-Apr-2001,28.59,28.68,28.38,28.56,44133
ALG,24-Apr-2001,14.2,14.2,14.2,14.2,100
ALK,24-Apr-2001,6.7375,6.7425,6.675,6.705,106600
ALL,24-Apr-2001,42.4,42.7,41.22,41.23,2706100
ALP-O,24-Apr-2001,20.62,20.62,20.25,20.4,4000
ALV,24-Apr-2001,18.65,18.85,18.52,18.7,13700
ALX,24-Apr-2001,59.85,59.9,59.51,59.73,2700
AM,24-Apr-2001,10.55,10.92,10.55,10.76,125500
AME,24-Apr-2001,4.0169,4.0315,4.0022,4.0111,111800
AMG,24-Apr-2001,34,34,33.2,33.33,421500
AMT,24-Apr-2001,24.5,25.18,24.1,24.6,1042700
