A,20-Sep-2001,22,22.01,20.54,20.82,2088700
AA,20-Sep-2001,29.95,29.95,28.01,28.61,6878600
ABB,20-Sep-2001,5.49,5.69,5.49,5.68,11800
ABC,20-Sep-2001,16.125,16.5,15.9975,16.4275,1357100
ABM,20-Sep-2001,14.5,14.56,13.72,13.75,126000
ABT,20-Sep-2001,48.7,49.4,48.29,48.49,4969900
ABX,20-Sep-2001,16.81,17.55,16.79,17.35,4258800
ACE,20-Sep-2001,22.75,23.79,20.6,20.95,9609300
ACG,20-Sep-2001,7.72,8.1,7.7,7.83,537700
ACI,20-Sep-2001,7.825,8.12,7.815,7.825,367800
ACN,20-Sep-2001,13.9,13.9,12.84,12.95,3498900
ACP,20-Sep-2001,8.9,9,8.9,9,2300
ACV,20-Sep-2001,26.95,27,26.21,26.27,198000
ADC,20-Sep-2001,18.6,18.66,18.42,18.49,11300
ADM,20-Sep-2001,12.25,12.5,12.1,12.43,1644400
ADS,20-Sep-2001,11.65,11.65,11.35,11.35,166200
ADX,20-Sep-2001,13.7,13.8,13.26,13.6,262300
AED,20-Sep-2001,22.6,22.6,19.5,20.6,1325
AEE,20-Sep-2001,39.35,40.28,39.25,40.05,446100
AEG,20-Sep-2001,21.59,22.16,20.05,20.67,382096
AEM,20-Sep-2001,11.04,11.4,10.82,11.4,520800
AEO,20-Sep-2001,5.846,6.103,5.656,5.99,7753500
AEP,20-Sep-2001,46.05,47.4,46.02,47.04,815400
AES,20-Sep-2001,22.85,24.6,22.65,24.32,4952500
AES-C,20-Sep-2001,43.75,46,43.75,44.75,283300
AET,20-Sep-2001,6.75,6.938,6.55,6.565,850600
AF,20-Sep-2001,19.63,19.63,18.97,19.07,4791900
AFG,20-Sep-2001,13.907,13.907,13.013,13.34,119400
AFL,20-Sep-2001,24.5,24.81,24.05,24.71,2146900
AG,20-Sep-2001,9.6,9.6,8.4,8.72,398200
AGCO,20-Sep-2001,9.6,9.6,8.4,8.72,398200
AGM,20-Sep-2001,31.85,31.85,30.15,30.7,64500
