A,02-May-2001,39.9,40.45,38.9,39.72,1288400
AA,02-May-2001,41.9,41.9,40.64,41.33,2928700
ABB,02-May-2001,14.84,14.84,14.55,14.67,24200
ABC,02-May-2001,13.265,13.2675,12.8775,13.0625,624800
ABM,02-May-2001,15.93,16.38,15.7,16.26,57200
ABT,02-May-2001,44.6,45.69,44.56,45.37,3288100
ABX,02-May-2001,16.58,17.04,16.43,16.95,1876600
ACE,02-May-2001,37.25,37.25,35.78,35.79,2536500
ACG,02-May-2001,7.98,8.05,7.94,8,305100
ACI,02-May-2001,16.9,16.9,16.25,16.5,1463400
ACP,02-May-2001,9.16,9.16,9.04,9.05,7400
ACV,02-May-2001,27.04,27.35,26.8,27.25,181050
ADC,02-May-2001,16.33,16.8,16.27,16.7,12400
ADM,02-May-2001,11.43,11.48,11.29,11.32,1236900
ADX,02-May-2001,19.4,19.7,19.23,19.57,78900
AED,02-May-2001,22.6,26,22.6,22.6,1375
AEE,02-May-2001,41.99,42.38,41.31,41.67,377000
AEG,02-May-2001,32.12,32.77,32.12,32.77,150280
AEM,02-May-2001,7.8,7.8,7.45,7.6,161100
AEO,02-May-2001,13.18,13.257,12.756,13.073,3399300
AEP,02-May-2001,49,49.15,47.98,48,958500
AES,02-May-2001,46.4,48.85,46.25,48.3,4138800
AES-C,02-May-2001,74,75.6,73.61,74.2,278400
AET,02-May-2001,6.863,6.898,6.578,6.863,1072500
AF,02-May-2001,19.34,19.41,19.27,19.32,904800
AFG,02-May-2001,17.622,17.622,17.329,17.355,77400
AFL,02-May-2001,31.51,31.72,30.56,31.17,1162800
AG,02-May-2001,8.4,8.7,8.37,8.58,180100
AGCO,02-May-2001,8.4,8.7,8.37,8.58,180100
AGM,02-May-2001,26.9,27,26.8,26.91,12900
AGM.A,02-May-2001,22.65,22.65,22.65,22.65,0
AGN,02-May-2001,36.74,36.95,35.955,36.415,621700
AGR,02-May-2001,75,84.5,75,80.8,2112030
AGU,02-May-2001,11.93,11.93,11.07,11.58,788200
AIB,02-May-2001,111,111.7,110.3,111.55,81800
AIG,02-May-2001,1658,1659.8,1637.2,1644,4647000
AIN,02-May-2001,20.37,21.3,20.35,21,244600
AIR,02-May-2001,11.5,11.83,11.5,11.77,56400
AIT,02-May-2001,8.471,8.518,8.451,8.491,35400
AIV,02-May-2001,44.25,44.25,43.59,43.67,199800
AJG,02-May-2001,25.77,25.77,24.76,25.12,171700
AKO.A,02-May-2001,13.5,13.55,13.5,13.51,22100
AKO.B,02-May-2001,11,11,10.99,11,20300
AKR,02-May-2001,6.35,6.43,6.33,6.41,5300
AKS,02-May-2001,13.16,13.38,12.92,13.22,190700
AL,02-May-2001,39.85,39.86,39.26,39.75,1142800
ALB,02-May-2001,11.325,11.325,10.6,11.085,115100
ALE,02-May-2001,28.95,29.04,28.47,28.59,28166
ALG,02-May-2001,14.25,14.25,14.1,14.23,2800
ALK,02-May-2001,6.985,7.0775,6.95,7.0475,119700
ALL,02-May-2001,42,42.11,41.11,41.38,1376200
ALP-O,02-May-2001,20.5,20.75,20.5,20.75,2000
ALV,02-May-2001,19.55,19.95,19.25,19.85,34200
ALX,02-May-2001,64.7,66.75,64.5,66.75,11300
AM,02-May-2001,11,11.17,10.74,10.75,502800
AME,02-May-2001,4.076,4.0911,4.0138,4.0138,95600
AMG,02-May-2001,35.2,36.13,35.07,35.73,1044150
AMT,02-May-2001,27.54,28.75,27.45,27.85,1103900
AMX,02-May-2001,3.11,3.26,3.11,3.25,11315700
AN,02-May-2001,10.2,10.2,9.8,9.99,656300
ANF,02-May-2001,34.55,35.15,33.92,34.75,1230000
ANH,02-May-2001,6,6.1,6,6,5900
AOI,02-May-2001,87,91.5,80,90.2,128500
AON,02-May-2001,33.2,33.75,33.08,33.57,1152900
AOS,02-May-2001,6.3834,6.4167,6.3367,6.4,25500
AP,02-May-2001,11,11.1,11,11,6800
APA,02-May-2001,26.36,26.36,25.03,25.11,7714244
APB,02-May-2001,8.43,8.47,8.4,8.44,21400
APC,02-May-2001,31.525,31.53,29.975,30.125,4899400
APD,02-May-2001,42.71,42.9,42.01,42.9,982600
APF,02-May-2001,8.65,8.7,8.65,8.66,51900
APH,02-May-2001,5.47,5.92,5.47,5.6825,1084600
APU,02-May-2001,24.03,24.03,22,22.4,156100
ARE,02-May-2001,37.15,37.4,36.48,37,39600
ARG,02-May-2001,8.94,8.94,8.7,8.8,65400
ARL,02-May-2001,11.35,11.35,11.3,11.3,900
ARW,02-May-2001,28.1,28.7,27.4,28.18,1880600
ASA,02-May-2001,6.45,6.4667,6.27,6.46,65500
ASG,02-May-2001,9.95,10,9.9,9.98,24500
ASH,02-May-2001,34.63,34.63,33.09,33.64,580166
ASR,02-May-2001,17.65,17.65,17.2,17.25,66600
ASX,02-May-2001,2.97,2.98,2.97,2.98,400095
ATI,02-May-2001,18.3,18.35,17.7,18.06,128400
ATO,02-May-2001,23.3,23.5,22.83,23.25,111000
ATR,02-May-2001,15.975,16.495,15.925,16.41,67500
ATU,02-May-2001,3.85,3.89,3.835,3.85,61600
ATW,02-May-2001,10.89,10.89,10.175,10.175,181300
AU,02-May-2001,18.4,18.4,18.01,18.29,266800
AV,02-May-2001,15.49,15.49,14.96,15.4,1276400
AVA,02-May-2001,21.05,21.05,20.35,20.7,169700
AVB,02-May-2001,45.37,45.37,44.7,45.04,214900
AVP,02-May-2001,21.8,21.99,21.55,21.77,3399800
AVT,02-May-2001,26.9,27,26.02,26.45,503600
AVX,02-May-2001,18.35,19.15,18.3,18.95,372800
AVY,02-May-2001,56.13,57.1,55.79,57.1,316900
AWF,02-May-2001,9.3,9.33,9.27,9.32,334700
AWR,02-May-2001,10.95,10.95,10.655,10.665,28800
AXE,02-May-2001,26.8,27.9,26.6,27.6,348500
AXL,02-May-2001,13.35,13.55,12.9,13,29400
AXP,02-May-2001,42.75,43.85,42.45,43.24,6382700
AXR,02-May-2001,4,4.06,4,4.06,600
AZN,02-May-2001,47.32,47.5,46.56,46.95,1099000
AZO,02-May-2001,31.9,31.9,31.34,31.62,401300
AZZ,02-May-2001,4.8125,4.925,4.8125,4.9125,47400
B,02-May-2001,10.15,10.205,10.15,10.2,6300
BA,02-May-2001,63.68,64.3,63.25,64,3346200
BAC,02-May-2001,28.25,28.4,27.93,28.06,9048400
BAK,02-May-2001,6.42,6.5,6.42,6.5,2200
BAP,02-May-2001,7.35,7.45,7.27,7.45,26500
BAX,02-May-2001,46.5,46.5,45.3,45.76,2766000
BBD,02-May-2001,2.5629,2.5629,2.3204,2.3432,72870
BBT,02-May-2001,35.88,36.05,35.13,36,607700
BBVA,02-May-2001,14.1,14.1,13.94,14.01,111000
BBX,02-May-2001,25.7,25.8,25.5,25.75,62500
BBY,02-May-2001,24.67,25.67,24.63,25.37,4919400
BC,02-May-2001,20.4,20.87,20.19,20.72,354800
BCE,02-May-2001,25.5,25.91,25.18,25.75,300500
BCO,02-May-2001,21.4,21.62,21.2,21.4,220200
BCR,02-May-2001,22.06,22.13,21.77,22.04,470400
BCS,02-May-2001,31.81,32.06,31.63,32.05,13200
BDC,02-May-2001,31,31.06,28.2,29.1,130150
BDJ,02-May-2001,11.15,11.15,11.15,11.15,100
BDN,02-May-2001,20.1,20.5,19.71,20.33,99200
BDX,02-May-2001,32.65,32.65,31.7,32.19,1770000
BEN,02-May-2001,14.7333,14.7933,14.4667,14.6067,748500
BF.B,02-May-2001,20.4,20.42,20.2867,20.3467,102000
BFR,02-May-2001,27.3,27.3,26.82,26.89,117900
BFS,02-May-2001,18.35,18.48,18.35,18.45,14400
BGC,02-May-2001,12.48,12.75,12.25,12.75,206000
BGG,02-May-2001,20.65,20.69,20.17,20.34,180600
BHE,02-May-2001,11.826,12.36,11.626,12.186,283500
BHI,02-May-2001,37.65,37.65,35.5,35.69,3350600
BHP,02-May-2001,9.92,9.92,9.77,9.8,169756
BID,02-May-2001,18.35,18.4,18.09,18.21,40100
BIF,02-May-2001,8.5,8.5,8.4,8.4,3600
BK,02-May-2001,50.48,51.06,50.07,50.13,1595500
BKE,02-May-2001,13.473,13.9,13.44,13.74,21400
BKH,02-May-2001,50.4,50.8,49.43,50.4,259900
BKN,02-May-2001,13.4,13.41,13.37,13.41,7400
BKS,02-May-2001,23.57,24.23,23.43,23.43,1321000
BKT,02-May-2001,6.99,7.05,6.96,7.03,107700
BLH,02-May-2001,25,25,25,25,0
BLK,02-May-2001,34.25,34.5,33.55,33.87,38200
BLL,02-May-2001,5.715,5.715,5.54,5.63,942800
BLT,02-May-2001,3.95,3.95,3.95,3.95,7000
BLX,02-May-2001,34,34.8,34,34.73,27900
BMO,02-May-2001,22.88,22.97,22.71,22.9,32500
BMS,02-May-2001,18.71,18.9,18.53,18.81,258000
BMY,02-May-2001,52.7,53.24,52.05,52.07,5622700
BNK,02-May-2001,19.76,19.86,19.72,19.81,724100
BNS,02-May-2001,12.53,12.53,12.53,12.53,200
BOH,02-May-2001,22.58,22.75,22.55,22.75,875300
BP,02-May-2001,53.4,53.54,52,52.3,5972600
BPL,02-May-2001,33.14,33.14,32.26,32.27,24700
BPT,02-May-2001,15.67,15.67,14.3,14.49,219600
BRC,02-May-2001,16.63,16.63,16.4,16.55,53400
BRK.A,02-May-2001,68300,68400,67900,67900,14000
BRK.B,02-May-2001,45.7,45.7,45.02,45.3,9530
BRO,02-May-2001,11.035,11.525,11.025,11.115,122600
BRT,02-May-2001,8.6,8.6,8.6,8.6,100
BSD,02-May-2001,14.1,14.12,14.01,14.12,7400
BSI,02-May-2001,13.98,13.98,13.9,13.9,27100
BSX,02-May-2001,8.15,8.18,7.89,7.94,2066400
BT,02-May-2001,59.81,59.92,58.63,59.41,71900
BTO,02-May-2001,33.32,33.4,33,33.28,105700
BUD,02-May-2001,40.2,40.29,39.81,39.81,3092400
BVN,02-May-2001,1.928,1.96,1.928,1.96,143200
BW,02-May-2001,20.6,20.89,20.39,20.42,19300
BWA,02-May-2001,5.53,5.6125,5.5,5.575,147800
BXP,02-May-2001,39.17,39.18,38.63,39.1,222200
BXS,02-May-2001,14.98,14.98,14.5,14.7,112300
BYD,02-May-2001,4.75,4.8,4.53,4.68,103300
BZH,02-May-2001,94.65,95.6,89.65,92,597300
C,02-May-2001,504,510.3,499,506,1055420
CACI,02-May-2001,16.46,16.925,16.3,16.745,152900
CAE,02-May-2001,9.3,9.45,9.26,9.45,12000
CAG,02-May-2001,21,21.01,20.55,20.76,1054400
CAH,02-May-2001,66.05,67.74,66,67.25,2261200
CAI,02-May-2001,16.46,16.92,16.3,16.75,305800
CAJ,02-May-2001,27.54,28.181,27.54,27.954,128000
CAL,02-May-2001,50.55,51.25,50.25,51.25,534900
CAM,02-May-2001,15.25,15.363,14.975,15.225,1566200
CAT,02-May-2001,25.5,25.51,24.7,25.15,4183200
CB,02-May-2001,34.3,34.3,33.575,33.725,1053500
CBA,02-May-2001,28.8,28.8,28.35,28.5,36100
CBB,02-May-2001,25.87,26,25.65,25.9,646600
CBB-B,02-May-2001,50.09,50.4,49.5,49.5,8300
CBD,02-May-2001,14.125,14.5,14.125,14.26,393600
CBI,02-May-2001,7.03,7.08,6.9,6.9,155200
CBK,02-May-2001,17.78,17.85,16.31,16.51,1486800
CBL,02-May-2001,13.9,13.9,13.775,13.875,158400
CBM,02-May-2001,49.75,53.15,49.75,53,393000
CBR,02-May-2001,6.54,7.38,6.54,7.18,367200
CBT,02-May-2001,33.31,33.54,32.25,33.46,578300
CBU,02-May-2001,13.43,13.45,13.4,13.45,31400
CC,02-May-2001,9.93,10.04,9.82,10.01,2203400
CCC,02-May-2001,8.25,8.49,8.15,8.39,61200
CCE,02-May-2001,18.32,18.43,17.5,18.03,854400
CCI,02-May-2001,24,24.07,23.7,23.74,826500
CCJ,02-May-2001,3.85,3.85,3.68,3.725,113700
CCK,02-May-2001,4.5,4.55,4.3,4.3,747700
CCL,02-May-2001,27.1,28.23,26.9,28.2,1744500
CCU,02-May-2001,22.12,22.84,22.1,22.372,3982200
CCZ,02-May-2001,55.5,56.5,55.5,56.5,400
CDE,02-May-2001,14.2,14.3,12.7,13.4,339300
CDI,02-May-2001,14.71,14.71,14.25,14.49,21000
CDR,02-May-2001,9.84,9.84,7.35,7.35,1200
CE,02-May-2001,23.13,23.16,21.9,22.32,10306400
CEA,02-May-2001,7.6,8.125,7.6,8.125,16500
CEE,02-May-2001,12.14,12.14,12.1,12.1,3600
CEL,02-May-2001,79,79.2,72,75,19440
CEM,02-May-2001,10.13,10.3,10,10.14,139100
CEN,02-May-2001,18,18.47,17.9,18.25,382800
CEO,02-May-2001,18.64,18.72,18.19,18.24,202800
CF,02-May-2001,5.32,5.322,5.276,5.314,689834
CFI,02-May-2001,4.1,4.25,3.95,4.2,9700
CFR,02-May-2001,31.3,32.28,31.25,32.05,245000
CGA,02-May-2001,10.41,10.75,10.41,10.64,270300
CGI,02-May-2001,8.65,8.65,8.4,8.47,43400
CHA,02-May-2001,72.063,72.063,72.063,72.063,0
CHD,02-May-2001,7.965,7.995,7.865,7.985,340200
CHE,02-May-2001,17.2,17.49,17.2,17.34,49000
CHH,02-May-2001,7.465,7.495,7.2,7.245,12800
CHK,02-May-2001,8.75,8.76,8.09,8.09,2829500
CHL,02-May-2001,26.2,26.68,26.1,26.51,1150400
CHN,02-May-2001,11.8,12.05,11.8,11.96,21800
CHS,02-May-2001,5.17,5.23,4.94,4.94,3823200
CHU,02-May-2001,15.51,15.65,14.85,15.04,2071800
CI,02-May-2001,32.301,32.384,30.47,30.919,7051900
CIA,02-May-2001,4.74,4.92,4.67,4.79,8821
CIB,02-May-2001,1.95,1.95,1.95,1.95,2000
CIF,02-May-2001,4.71,4.75,4.71,4.75,8600
CIG,02-May-2001,1.9298,2.049,1.9298,1.964,130500
CIR,02-May-2001,18.4,18.45,17.95,18,65900
CKH,02-May-2001,46.18,46.18,43.55,44.1,59600
CKP,02-May-2001,10.52,11.5,10.26,11.3,520900
CL,02-May-2001,28.125,28.35,27.6,28,2353100
CLB,02-May-2001,11.91,11.91,11.25,11.425,141400
CLC,02-May-2001,12.48,12.53,12.3,12.3,62400
CLF,02-May-2001,2.445,2.445,2.438,2.438,37800
CLI,02-May-2001,26.65,26.9,26.63,26.71,115800
CLS,02-May-2001,54.25,57.5,53.82,55.7,3661900
CLX,02-May-2001,32.29,32.53,32.01,32.44,714900
CM,02-May-2001,28.1,28.1,28.1,28.1,0
CMA,02-May-2001,52.35,52.35,51.3,51.58,1630800
CMC,02-May-2001,3.245,3.31,3.245,3.3,74800
CMI,02-May-2001,10.688,10.788,10.413,10.513,606000
CMN,02-May-2001,3.0711,3.16,3.0711,3.16,2025
CMO,02-May-2001,13.2,13.63,12.87,12.87,120797
CMS,02-May-2001,31.65,31.67,29.54,29.62,1420200
CMS-B,02-May-2001,60,60,60,60,20
CMU,02-May-2001,5.88,5.93,5.84,5.93,14600
CNA,02-May-2001,34.78,34.78,34.09,34.34,117400
CNI,02-May-2001,6.4725,6.48,6.4225,6.48,400800
CNL,02-May-2001,22.52,22.62,22.38,22.57,222600
CNP,02-May-2001,39.58,39.64,38.23,38.23,1166600
CNQ,02-May-2001,3.75,3.75,3.54,3.55,312800
CNX,02-May-2001,19.05,19.6,18.3,18.45,357700
COF,02-May-2001,63.87,64.89,63.5,64.44,771200
COG,02-May-2001,2.3413,2.3413,2.2088,2.2563,194100
COH,02-May-2001,4.26,4.4,4.2,4.35,8204000
COO,02-May-2001,21.78,22.03,21.65,21.87,161800
COP,02-May-2001,29.2,29.21,28.2,28.32,6105000
COT,02-May-2001,10.17,10.43,9.57,9.7,237200
CP,02-May-2001,19.275,19.3,19,19.055,407000
CPB,02-May-2001,30.84,30.84,30.21,30.59,373000
CPE,02-May-2001,12.2,12.26,11.99,12.05,6500
CPF,02-May-2001,269.4,276,269.4,272.2,2000
CPK,02-May-2001,12.4,12.4667,12.3333,12.4667,9700
CPS,02-May-2001,28.43,28.43,28.04,28.28,180933
CPT,02-May-2001,33.27,33.35,33.03,33.26,99200
CR,02-May-2001,28.61,28.62,28.25,28.5,243500
CRD.A,02-May-2001,9.46,9.46,9.46,9.46,125200
CRD.B,02-May-2001,12.87,12.9,12.87,12.9,1200
CRK,02-May-2001,10.19,10.44,9.88,10.19,270300
